mode,band_low,band_high,n_uncertain,thr_policy,threshold,precision,recall,tp,fp,fn,tn,fnr,fpr,fdr
band_0.20_0.80,0.2,0.8,2594,fixed,0.18,0.16500217108119844,0.9178743961352657,380.0,1923.0,34.0,973.0,0.0821256038647343,0.6640193370165746,0.8349978289188016
band_0.20_0.80,0.2,0.8,2594,fixed,0.2,0.17486860965121834,0.8840579710144928,366.0,1727.0,48.0,1169.0,0.11594202898550725,0.5963397790055248,0.8251313903487817
band_0.20_0.80,0.2,0.8,2594,fixed,0.23,0.17572197748409202,0.8671497584541062,359.0,1684.0,55.0,1212.0,0.13285024154589373,0.5814917127071824,0.824278022515908
band_0.20_0.80,0.2,0.8,2594,fixed,0.25,0.17731550272412086,0.8647342995169082,358.0,1661.0,56.0,1235.0,0.13526570048309178,0.573549723756906,0.8226844972758791
band_0.20_0.80,0.2,0.8,2594,fixed,0.28,0.17855336368234698,0.8526570048309179,353.0,1624.0000000000002,61.0,1271.9999999999998,0.1473429951690821,0.5607734806629835,0.821446636317653
band_0.20_0.80,0.2,0.8,2594,fixed,0.3,0.1791044776119403,0.8405797101449275,348.0,1595.0000000000002,66.0,1300.9999999999998,0.15942028985507245,0.5507596685082874,0.8208955223880597
band_0.20_0.80,0.2,0.8,2594,fixed,0.32,0.17806788511749347,0.8236714975845411,341.0,1574.0000000000002,73.0,1321.9999999999998,0.17632850241545894,0.5435082872928177,0.8219321148825065
band_0.20_0.80,0.2,0.8,2594,fixed,0.35,0.1800107469102633,0.8091787439613527,335.0,1525.9999999999998,79.0,1370.0000000000002,0.19082125603864733,0.5269337016574585,0.8199892530897367
band_0.20_0.80,0.2,0.8,2594,fixed,0.38,0.18212104386451972,0.7922705314009661,328.0,1473.0,86.0,1423.0,0.20772946859903382,0.5086325966850829,0.8178789561354802
band_0.20_0.80,0.2,0.8,2594,fixed,0.4,0.18381112984822934,0.7898550724637681,327.0,1452.0,87.0,1444.0,0.21014492753623187,0.5013812154696132,0.8161888701517707
band_0.20_0.80,0.2,0.8,2594,fixed,0.42,0.18380241240666284,0.7729468599033816,320.0,1421.0,94.0,1475.0,0.22705314009661837,0.4906767955801105,0.8161975875933372
band_0.20_0.80,0.2,0.8,2594,fixed,0.45,0.18575667655786351,0.7560386473429952,313.0,1371.9999999999998,101.0,1524.0000000000002,0.24396135265700483,0.473756906077348,0.8142433234421365
band_0.20_0.80,0.2,0.8,2594,fixed,0.48,0.181360201511335,0.6956521739130435,288.0,1300.0,126.0,1596.0,0.30434782608695654,0.4488950276243094,0.818639798488665
band_0.20_0.80,0.2,0.8,2594,fixed,0.5,0.1867911941294196,0.6763285024154589,280.0,1219.0,134.0,1677.0,0.32367149758454106,0.42092541436464087,0.8132088058705804
band_0.25_0.35,0.25,0.35,511,auto95,0.15,0.13986013986013987,0.966183574879227,400.0,2460.0,14.0,436.0,0.033816425120772944,0.8494475138121547,0.8601398601398601
band_0.25_0.35,0.25,0.35,511,auto90,0.2,0.1556836902800659,0.9130434782608695,378.0,2050.0,36.0,846.0,0.08695652173913043,0.7078729281767956,0.8443163097199341
band_0.25_0.35,0.25,0.35,511,fixed,0.05,0.12838047870686975,0.9975845410628019,413.0,2804.0000000000005,1.0,91.99999999999955,0.0024154589371980675,0.9682320441988952,0.8716195212931303
band_0.25_0.35,0.25,0.35,511,fixed,0.08,0.13039340101522842,0.9927536231884058,411.0,2741.0,3.0,155.0,0.007246376811594203,0.9464779005524862,0.8696065989847716
band_0.25_0.35,0.25,0.35,511,fixed,0.1,0.13151125401929262,0.9879227053140096,409.0,2700.9999999999995,5.0,195.00000000000045,0.012077294685990338,0.9326657458563534,0.8684887459807074
band_0.25_0.35,0.25,0.35,511,fixed,0.12,0.13346547737033365,0.9758454106280193,404.0,2623.0000000000005,10.0,272.99999999999955,0.024154589371980676,0.9057320441988952,0.8665345226296663
band_0.25_0.35,0.25,0.35,511,fixed,0.15,0.13986013986013987,0.966183574879227,400.0,2460.0,14.0,436.0,0.033816425120772944,0.8494475138121547,0.8601398601398601
band_0.25_0.35,0.25,0.35,511,fixed,0.18,0.14841663487218618,0.9396135265700483,389.0,2232.0000000000005,25.0,663.9999999999995,0.06038647342995169,0.7707182320441991,0.8515833651278139
band_0.25_0.35,0.25,0.35,511,fixed,0.2,0.1556836902800659,0.9130434782608695,378.0,2050.0,36.0,846.0,0.08695652173913043,0.7078729281767956,0.8443163097199341
band_0.25_0.35,0.25,0.35,511,fixed,0.23,0.1690399632521819,0.8888888888888888,368.0,1809.0,46.0,1087.0,0.1111111111111111,0.6246546961325967,0.830960036747818
band_0.25_0.35,0.25,0.35,511,fixed,0.25,0.17710902812037493,0.8671497584541062,359.0,1668.0000000000002,55.0,1227.9999999999998,0.13285024154589373,0.5759668508287293,0.8228909718796251
band_0.25_0.35,0.25,0.35,511,fixed,0.28,0.17720258835241415,0.8599033816425121,356.0,1653.0,58.0,1243.0,0.14009661835748793,0.5707872928176796,0.8227974116475858
band_0.25_0.35,0.25,0.35,511,fixed,0.3,0.17794486215538846,0.857487922705314,355.0,1640.0,59.0,1256.0,0.14251207729468598,0.5662983425414365,0.8220551378446115
band_0.25_0.35,0.25,0.35,511,fixed,0.32,0.17732997481108312,0.8502415458937198,352.0,1632.9999999999998,62.0,1263.0000000000002,0.1497584541062802,0.5638812154696132,0.8226700251889169
band_0.25_0.35,0.25,0.35,511,fixed,0.35,0.17940876656472987,0.8502415458937198,352.0,1610.0,62.0,1286.0,0.1497584541062802,0.555939226519337,0.8205912334352701
band_0.25_0.35,0.25,0.35,511,fixed,0.38,0.18110236220472442,0.7777777777777778,322.0,1456.0,92.0,1440.0,0.2222222222222222,0.5027624309392266,0.8188976377952756
band_0.25_0.35,0.25,0.35,511,fixed,0.4,0.18208778173190984,0.7415458937198067,307.0,1379.0,107.0,1517.0,0.2584541062801932,0.4761740331491713,0.8179122182680901
band_0.25_0.35,0.25,0.35,511,fixed,0.42,0.18199112238427395,0.6932367149758454,287.0,1290.0,127.0,1606.0,0.30676328502415456,0.44544198895027626,0.818008877615726
band_0.25_0.35,0.25,0.35,511,fixed,0.45,0.18984547461368653,0.6231884057971014,258.0,1101.0,156.0,1795.0,0.37681159420289856,0.38017955801104975,0.8101545253863135
band_0.25_0.35,0.25,0.35,511,fixed,0.48,0.1975736568457539,0.5507246376811594,228.0,926.0,186.0,1970.0,0.4492753623188406,0.3197513812154696,0.8024263431542461
band_0.25_0.35,0.25,0.35,511,fixed,0.5,0.20556107249255212,0.5,207.0,800.0000000000001,207.0,2096.0,0.5,0.27624309392265195,0.7944389275074479
band_0.25_0.40,0.25,0.4,752,auto95,0.15,0.14114326040931546,0.966183574879227,400.0,2434.0,14.0,462.0,0.033816425120772944,0.8404696132596685,0.8588567395906845
